26042	mobiweb telecom limited
26045	virgin mobile polska sp. z o.o.
311800	bluegrass wireless llc
26047	smshighway limited
23429	(aq) limited
62401	mtn
62402	orange
62404	nextel
312630	netgenuity, inc.
22812	tdc sunrise
22811	swisscom broadcast ag
46689	t-star/vibo
46688	kg telecom
20650	ip nexia
20821	bouygues telecom
302620	ice wireless
43604	babilon-m
310190	unknown
43605	bee line
43602	cjsc indigo tajikistan
43603	mlt/tt mobile
90116	cisco systems, inc.
90117	jt group limited
90114	aeromobile
90115	onair switzerland sarl
90112	maritime communications partner as
90113	antarctica
90110	aces
90111	inmarsat
43601	tcell/jc somoncom
90118	at&t mobility
90119	vodafone malta maritime
312170	iowa rsa no. 2 limited partnership
29341	mobitel
29340	si.mobil
21413	incotel ingeniera y consultaria sl
21412	contacta servicios avanzados de telecomunicaciones sl
21411	orange
21410	zinnia telecomunicaciones, s.l.u.
21417	r cable y telec. galicia sa
21416	telecable de asturias sa
21415	bt espana sau
21414	incotel servicioz avanzados sl
21419	simyo/kpn
21418	cableuropa sau (ono)
33450	at&t;/iusacell
71607	nextel
71606	movistar
71602	globalstar
71601	globalstar
312280	cellular network partnership llc
311550	commnet midwest llc
312730	triangle communication system inc.
27801	vodafone
26821	zapp portugal
53602	digicel (nauru) corporation
63310	airtel
310860	texas rsa 15b2 limited partnership
37201	comcel
37203	national telecom sa (natcom)
37202	digicel
40504	reliance
312350	triangle communication system inc.
312120	east kentucky network llc
28020	primetel plc
310730	united states cellular corp.
28023	mundio mobile cyprus ltd.
302340	execulink
20206	cosmoline
65513	neotel pty ltd
334030	movistar/pegaso
312590	northern michigan university
311489	verizon wireless
311488	verizon wireless
62130	mtn
311481	verizon wireless
311480	verizon wireless
311483	verizon wireless
311482	verizon wireless
311485	verizon wireless
311484	verizon wireless
311487	verizon wireless
311486	verizon wireless
313340	dish network
405840	jio
50507	vodafone
405927	uninor
405844	uninor
360100	cingular
311730	proximiti mobility inc.
40438	bsnl
405847	idea
40434	bsnl
40435	aircel
40436	reliance telecom private
405846	idea
40430	usha martin telecom
40431	airtel
40433	aircel
26601	gibtel gsm
25002	megafon
26609	eazi telecom
302290	airtel wireless
23494	h3g hutchinson
23491	vodafone
312740	kddi america, inc.
